ts,FS_0234_PV,FS_0372_PV,FI_0395_PV,FI_0567_PV,FI_0879_PV,FC_0173_PV,FI_0497_PV,FI_0396_PV,FI_0319_PV,FC_0756_PV,FC_0696_PV,LC_0493_PV,PD_0272_PV,PI_0922_PV,PI_0326_PV,PC_0163_PV,FC_0688_OP,FC_0126_OP,FC_0419_OP,FC_0971_OP,FC_0749_OP,FC_0336_OP,FC_0619_OP,FC_0178_OP,FC_0689_OP,FC_0262_OP,HC_0493_OP,HC_0378_OP,LC_0585_OP,LC_0678_OP,LC_0365_OP,LC_0894_OP,LC_0189_OP,PC_0181_OP,TC_0389_OP,AI_0573_PV,AI_0243_PV,AI_0295_PV,AI_0286_PV,FS_0776_PV,FS_0477_PV,FS_0976_PV,TI_0585_PV,TI_0421_PV,TI_0472_PV,TI_0824_PV,TI_0682_PV,TI_0642_PV,TI_0949_PV,TI_0898_PV,TI_0697_PV,TI_0316_PV,TC_0787_PV,TC_0987_PV,TC_0787_PV,LC_0915_OP,PI_0231_PV,FS_0669_PV,PC_0197_PV,FC_0285_PV,SC_0444_A0,SC_0261_BE,SC_0318_CO,SC_0721_D5,SC_0717_DK,SC_0531_DO,SC_0439_ED,SC_0859_F6,SC_0854_F8,SC_0192_F9,SC_0574_FC,SC_0243_FF,SC_0613_FI
2021/3/1 0:01,0,0,1461.8776,3.7795959,274.19354,6.2706466,5.8816013,692.48236,724.3313,132.3248,144.37885,51.029953,0.30536562,1.2056999,0.997,11.667204,61.171425,69.37954,50.986214,54.105904,50.910465,60.296375,82.84526,81.15806,84.24459,85.13105,50.001,106.9,12.432948,60.114628,38.100254,53.49222,51.451138,61.77709,-6.9,3.389575,-99999,-99999,-99999,0,6.0901833,0,58.999275,334.20544,343.31705,359.2687,369.21036,103.10657,103.21893,35.83248,369.1334,378.5744,100.4575,362.47012,371.45712,71.04295,0.03345986,120.0914,0.059771128,0.9349612,0.9562,8.22,194.8,3.13,0.182,484.8,3.5,236,336,370,408.5,436.5,463.5
2021/3/1 0:21,0,0,1462.0839,3.7594697,274.79062,6.321967,5.9339466,693.049,723.5919,131.9092,144.09685,49.63736,0.29859686,1.1909999,0.995825,11.66578,61.17936,69.42773,50.965786,54.11573,50.899944,60.285675,82.842964,81.15353,84.24462,85.125656,50.001,106.9,15.787305,60.10305,38.229225,53.76362,66.51963,61.740536,-6.9,3.3488877,-99999,-99999,-99999,0,6.153539,0,59.324368,334.3169,343.3091,359.33618,369.26584,103.13007,103.23474,35.781414,369.1968,378.5823,100.912506,362.47186,371.45242,71.04295,0.03394174,120.02721,0.06001438,0.80909085,0.9562,8.22,194.8,3.13,0.182,484.8,3.5,236,336,370,408.5,436.5,463.5
2021/3/1 0:41,0,0,1462.29,3.7996888,274.09995,6.2611394,5.868154,693.61566,722.4971,132.00485,144.10097,50.015266,0.30765,1.19895,0.995375,11.664356,61.18729,69.475914,50.945362,54.125557,50.889423,60.27497,82.84067,81.148994,84.24465,85.13164,50.001,106.9,12.15995,60.091473,37.103745,53.536373,50.1416,61.83497,-6.9,3.4850376,-99999,-99999,-99999,0,6.0737686,0,59.324425,334.42838,343.30115,359.40366,369.32132,103.15359,103.25056,35.730343,369.26022,378.59024,101.16,362.36276,371.44772,71.04295,0.03683632,119.963005,0.060257632,0.7124089,0.9562,8.22,194.8,3.13,0.182,484.8,3.5,236,336,370,408.5,436.5,463.5
2021/3/1 1:01,0,0,1462.4962,3.731475,274.53735,6.2784834,5.870027,694.1823,722.5399,131.04277,144.10509,50.76575,0.32410622,1.2189001,0.99672496,11.662931,61.195225,69.5241,50.924934,54.135387,50.878902,60.26427,82.83837,81.144455,84.24468,85.13901,50.001,106.9,12.32732,60.0799,43.251503,53.655464,68.1309,62.010822,-6.9,3.7146375,-99999,-99999,-99999,0,6.0769706,0,59.44474,334.53983,343.29318,359.4711,369.37683,103.17709,103.266365,35.67927,369.32364,378.59814,101.125,362.35376,371.44302,71.04295,0.036708474,119.89881,0.060500883,0.9865713,0.9562,8.22,194.8,3.13,0.182,484.8,3.5,236,336,370,408.5,436.5,463.5
2021/3/1 1:21,0,0,1462.7025,3.739927,273.77585,6.206633,5.7505183,694.2834,722.83826,131.1947,144.13414,50.263737,0.3151375,1.20735,0.994775,11.661508,61.20316,69.572296,50.90451,54.145214,50.86838,60.253567,82.836075,81.13992,84.24471,85.14638,50.001,106.9,13.5833235,60.06832,28.199863,53.72325,51.092026,62.186676,-6.9,3.4587874,-99999,-99999,-99999,0,6.0438657,0,59.902256,334.65128,343.28525,359.53857,369.4323,103.2006,103.28217,35.6282,369.38705,378.60608,101.409996,362.9019,371.4383,71.04295,0.03849507,119.83462,0.060744137,0.42524242,0.9562,8.22,194.8,3.13,0.182,484.8,3.5,236,336,370,408.5,436.5,463.5
2021/3/1 1:41,0,0,1462.9087,3.7390854,275.4183,6.2465167,5.849256,694.2004,723.13654,131.33604,144.21597,50.076084,0.3152875,1.21155,0.9961,11.660084,61.21109,69.62048,50.884083,54.15504,50.85786,60.242867,82.83378,81.13538,84.24474,85.15375,50.001,106.9,14.434765,60.056744,44.224075,53.694355,70.08436,61.41832,-6.9,3.716125,-99999,-99999,-99999,0,6.052863,0,59.517063,334.76276,343.27728,359.60605,369.47794,103.224106,103.29798,35.57713,369.4505,378.61398,100.9725,362.2892,371.43503,71.04295,0.037974026,119.770424,0.059863236,0.42915866,0.9562,8.22,194.8,3.13,0.182,484.8,3.5,236,336,370,408.5,436.5,463.5
2021/3/1 2:01,0,0,1463.115,3.7255447,274.07663,6.1805725,5.755689,694.11743,723.4349,132.00371,144.29782,49.375484,0.33633122,1.23825,0.99687505,11.65866,61.219025,69.66867,50.863655,54.164867,50.84734,60.232162,82.83148,81.13085,84.244774,85.16112,50.001,106.9,14.075444,60.045166,36.93864,53.722836,51.02175,62.157547,-6.9,3.6409628,-99999,-99999,-99999,0,6.0110784,0,59.01132,334.8742,343.26935,359.67352,369.42575,103.24761,103.3138,35.52606,369.46518,378.6219,100.64,362.34552,371.43237,71.04295,0.03807361,119.70622,0.060036145,0.9633712,0.9562,8.22,194.8,3.13,0.182,484.8,3.5,236,336,370,408.5,436.5,463.5
2021/3/1 2:21,0,0,1463.3811,3.7328,274.07205,6.1752462,5.7409935,694.0345,723.73315,130.36394,144.37965,50.802624,0.33583435,1.2396,0.99695003,11.657236,61.226955,69.71686,50.84323,54.174694,50.83682,60.221462,82.829185,81.12632,84.244804,85.16849,50.001,106.9,12.568858,60.03359,31.2917,53.89175,63.543373,61.899475,-6.9,3.3506374,-99999,-99999,-99999,0,6.0038705,0,59.107666,334.9714,343.26138,359.74097,369.3736,103.271126,103.329605,35.52444,369.4295,378.62982,101.2325,362.4101,371.4297,71.04295,0.042498197,119.64203,0.060209054,1.1191533,0.9562,8.22,194.8,3.13,0.182,484.8,3.5,236,336,370,408.5,436.5,463.5
2021/3/1 2:41,0,0,1463.7604,3.7400553,273.9689,6.1800857,5.735557,693.9515,724.0315,131.1432,144.37761,50.95149,0.32505208,1.2285,0.99625,11.655811,61.23489,69.765045,50.822803,54.184525,50.826298,60.21076,82.82689,81.12178,84.244835,85.17586,50.001,106.9,14.077982,60.02201,26.766748,53.76977,59.11447,61.71307,-6.9,3.4611502,-99999,-99999,-99999,0,5.98398,0,60.263245,334.92706,343.25345,359.80844,369.3214,103.29463,103.34541,35.54487,369.39383,378.63773,101.51,362.54935,371.42703,71.04295,0.040581945,119.577835,0.06038196,1.03552,0.9562,8.22,194.8,3.13,0.182,484.8,3.5,236,336,370,408.5,436.5,463.5
2021/3/1 3:01,0,0,1464.1398,3.750315,273.86578,6.235259,5.8299303,693.978,724.3298,130.33893,144.07959,50.009525,0.34017918,1.2406499,0.9948,11.654387,61.242825,69.81324,50.802376,54.19435,50.815777,60.200058,82.82459,81.11725,84.244865,85.18323,50.001,106.9,15.461922,60.010433,36.606747,53.54477,57.717564,61.52667,-6.9,3.4677124,-99999,-99999,-99999,0,6.046113,0,59.914288,334.88272,343.24548,359.86676,369.26923,103.31814,103.36123,35.565296,369.3582,378.64566,101.89,362.59058,371.42438,71.04295,0.044176877,119.51364,0.06055487,0.9518868,0.9562,8.22,194.8,3.13,0.182,484.8,3.5,236,336,370,408.5,436.5,463.5
