Tag,Description,Unit,Design Value
FI_0395_PV,Process Value of FI_0395,m3/h,1468.6635
FI_0567_PV,Process Value of FI_0567,m3/h,4.2482157
FI_0879_PV,Process Value of FI_0879,m3/h,285.8925
FC_0173_PV,Process Value of FC_0173,m3/h,5.856619
FI_0497_PV,Process Value of FI_0497,m3/h,6.1191115
FI_0396_PV,Process Value of FI_0396,m3/h,695.507
FI_0319_PV,Process Value of FI_0319,m3/h,851.73315
FC_0756_PV,Process Value of FC_0756,m3/h,130.94644
FC_0696_PV,Process Value of FC_0696,m3/h,132.363
LC_0493_PV,Process Value of LC_0493,m,50.096497
PD_0272_PV,Process Value of PD_0272,kPa,0.3780251
PI_0922_PV,Process Value of PI_0922,kPa,1.2163486
PI_0326_PV,Process Value of PI_0326,kPa,0.99645
PC_0163_PV,Process Value of PC_0163,kPa,11.827758
FC_0688_OP,Opening of FC_0688,%,57.016136
FC_0126_OP,Opening of FC_0126,%,70.22235
FC_0419_OP,Opening of FC_0419,%,-0.28762046
FC_0971_OP,Opening of FC_0971,%,49.1333
FC_0749_OP,Opening of FC_0749,%,49.368202
FC_0336_OP,Opening of FC_0336,%,53.573803
